************************************************************************************
*     Trajectory input file for the INMTM noise tool                               *
************************************************************************************
*
*     Author:    Sander Hartjes
*     Delft University of Technology, 2010
*
*     This file contains the input data required to define a trajectory for the 
*     INMTM noise calculation model version 3.0
*
*     Description of the parameters:
*
*     Sys            The unit system used:
*                       imp       for imperial units
*                       met       for metric units
*
*     x              x-coordinate                     [m or ft]
*     y              y-coordinate                     [m or ft]
*     h              altitude                         [m or ft]
*     V              true airspeed                    [m/s or kts]
*     T              net corrected thrust per engine  [N, lbf or %]
*     m              flight mode:
*                       1         departure procedures
*                       2         arrival procedures
*
*     nois_id        String to define the engine type (see INM_data.pdf)
*     engine mount   String to define the engine mounting:
*                       wing      for wing mounted engines
*                       fuselage  for fuselage mounted engines
*                       prop      for propeller aircraft
*
*     Please note that the total number of nodes must not exceed 1,000
*
Sys
====================================================================================
imp

         x         y         h         V         T         m
====================================================================================
    -285.0   19937.6    6000.0     248.4   55000.0         2
    1019.6   22947.9    5577.4     248.4   50000.0         2
    2256.7   25802.5    5577.4     233.6   45449.7         2
    3417.8   28481.8    5577.4     218.8   40899.5         2
    3667.5   28949.9    5577.4     216.0   40000.0         2
    6755.2   34739.6    4593.2     216.0   55000.0         2
    7974.9   37026.6    4593.2     216.0   46750.4         2
   11480.7   38888.9    4593.2     216.0   30000.0         2
   17089.1   41868.1    4339.2     211.9   28169.8         2
   26203.2   43292.3    3970.2     205.8   25276.4         2
   27025.8   43189.5    3937.0     205.2   25000.0         2
   35317.4   42153.1    3769.9     199.8   24002.0         2
   39305.2   39589.5    3675.1     196.6   23417.0         2
   41321.7   36968.1    3608.9     194.4   23000.0         2
   42153.1   35887.4    3574.8     193.8   25303.6         2
   42723.0   27627.5    3367.8     190.4   36276.2         2
   42185.6   24188.8    3280.8     189.0   40000.0         2
   41298.8   18513.3    2921.8     185.6   45141.1         2
   37596.0   11392.7    2420.2     180.7   51471.2         2
   32753.9    5981.3    1966.3     176.1   56591.6         2
   28124.3    3580.5    1640.4     172.8   60000.0         2

nois_id / engine mount
====================================================================================
GP7270
wing
