NPD_ID   MET    OP     THR   200   400   630  1000  2000  4000  6300 10000 16000 25000  C
=========================================================================================
2CF650     E     A   10000 106.2 101.1  97.2  92.5  84.2  75.0  68.0  61.4  53.4  43.3  J
2CF650     E     A   25000 109.8 105.1 101.5  97.3  90.3  82.0  76.0  70.0  62.7  53.9  J
2CF650     E     D   25000 109.8 105.1 101.5  97.3  90.3  82.0  76.0  70.0  62.7  53.9  J
2CF650     E     D   40000 113.0 108.6 105.2 101.5  95.6  88.2  83.1  77.5  70.8  63.3  J
2CF650     M     A   10000  99.2  91.9  86.7  81.0  72.1  63.0  56.7  49.6  41.6  33.1  J
2CF650     M     A   25000 105.3  98.3  93.4  88.0  79.5  70.5  64.3  57.4  49.7  41.5  J
2CF650     M     D   25000 105.3  98.3  93.4  88.0  79.5  70.5  64.3  57.4  49.7  41.5  J
2CF650     M     D   40000 109.1 102.3  97.6  92.5  84.3  75.4  69.3  62.6  55.1  47.2  J
2CF650     S     A   10000  99.9  95.0  91.4  87.5  81.3  74.6  69.7  64.2  57.7  50.7  J
2CF650     S     A   25000 103.7  99.3  96.1  92.7  87.1  80.6  75.8  70.5  64.3  57.5  J
2CF650     S     D   25000 103.7  99.3  96.1  92.7  87.1  80.6  75.8  70.5  64.3  57.5  J
2CF650     S     D   40000 106.8 102.9 100.1  97.1  92.0  85.8  81.0  75.9  69.9  63.4  J
2CF680     E     A    7000 104.4  99.5  95.8  91.6  84.1  76.3  71.1  65.8  60.3  55.1  J
2CF680     E     A   12000 106.5 101.5  97.7  93.5  85.7  78.1  73.0  67.9  62.6  57.6  J
2CF680     E     D   17000 107.1 102.5  99.1  94.5  86.9  79.5  75.3  69.5  64.0  58.4  J
2CF680     E     D   25000 107.4 102.9  99.5  95.9  89.2  82.2  77.4  71.8  65.9  59.8  J
2CF680     E     D   33000 107.7 103.7 100.7  97.1  91.8  85.5  80.7  75.2  69.0  62.6  J
2CF680     E     D   41000 111.6 107.8 105.0 102.1  96.9  90.6  85.8  80.3  74.1  67.7  J
2CF680     S     A    7000  98.1  93.9  90.8  87.4  81.4  75.0  70.3  65.7  60.6  55.7  J
2CF680     S     A   12000  99.3  95.0  91.9  88.5  82.5  76.2  71.7  67.2  62.3  57.6  J
2CF680     S     D   17000 100.0  95.6  92.6  89.3  83.7  77.6  73.1  68.5  63.4  58.4  J
2CF680     S     D   25000 100.3  96.7  93.9  90.9  85.9  79.8  75.4  70.5  65.2  59.8  J
2CF680     S     D   33000 103.3  99.9  97.3  94.5  89.7  83.6  79.2  74.3  69.0  63.5  J
2CF680     S     D   41000 106.2 103.1 100.8  98.2  93.6  87.6  83.1  78.1  72.5  66.8  J
2CF68D     E     A   10020 101.6  97.0  93.0  89.0  82.1  75.5  70.1  64.3  58.1  52.3  J
2CF68D     E     A   23190 110.9 106.0 102.2  98.7  90.1  81.7  75.7  69.3  62.5  55.9  J
2CF68D     E     D   25940 110.7 104.2 100.2  96.2  89.5  81.2  75.2  68.4  61.2  54.2  J
2CF68D     E     D   39180 112.2 106.7 103.2  99.5  93.2  86.2  80.7  74.2  67.2  60.2  J
2CF68D     E     D   51530 114.7 110.2 107.2 104.2  98.7  92.4  88.0  82.0  75.2  68.5  J
2CF68D     E     D   55500 117.2 112.7 110.0 107.2 101.8  96.2  91.7  86.7  80.2  73.7  J
2CF68D     S     A   10020  99.5  95.1  91.4  88.3  82.5  76.3  71.9  66.6  61.3  56.3  J
2CF68D     S     A   23190 105.1 100.6  97.1  93.7  87.0  80.1  75.1  69.5  64.0  58.4  J
2CF68D     S     D   25940 103.7  98.7  95.4  92.2  87.0  80.7  76.0  70.2  64.0  55.2  J
2CF68D     S     D   39180 106.0 101.7  98.7  96.2  91.2  85.2  80.2  75.0  68.7  60.2  J
2CF68D     S     D   51530 110.2 106.2 103.4 100.7  96.2  90.7  86.2  81.2  75.2  67.2  J
2CF68D     S     D   55500 113.2 109.2 106.4 103.7  98.2  94.2  89.7  85.2  79.2  72.0  J
2JT8D      E     A    3000 107.0 102.4  98.7  94.4  87.0  78.6  73.0  66.4  59.0  49.4  J
2JT8D      E     A    6000 110.3 105.8 102.1  97.9  91.0  83.0  77.3  71.0  63.3  54.1  J
2JT8D      E     D    8000 112.9 108.4 104.7 100.9  94.0  86.2  80.6  74.7  67.6  59.3  J
2JT8D      E     D   10000 115.7 111.5 108.0 104.3  98.0  90.8  85.9  80.3  73.8  66.1  J
2JT8D      E     D   12000 119.3 115.2 112.0 108.6 102.8  96.1  91.8  86.5  80.5  73.5  J
2JT8D      E     D   14000 123.9 119.9 117.1 113.0 108.0 101.7  97.3  92.9  87.5  81.1  J
2JT8D      M     A    3000 102.6  94.6  88.6  82.3  73.8  64.5  58.0  51.0  42.8  34.4  J
2JT8D      M     A    6000 105.4  97.9  91.5  85.8  77.2  68.5  61.9  55.1  47.1  38.5  J
2JT8D      M     D    8000 108.6 100.7  95.6  89.9  81.8  73.2  66.5  59.9  52.0  43.8  J
2JT8D      M     D   10000 111.6 104.3  99.5  94.6  86.3  77.7  71.8  64.9  57.2  48.9  J
2JT8D      M     D   12000 115.9 108.9 104.3  99.4  91.1  82.8  76.8  70.1  62.8  54.6  J
2JT8D      M     D   14000 120.8 113.4 109.4 104.5  96.4  88.2  82.3  75.8  68.6  60.9  J
2JT8D      S     A    3000 102.3  97.2  92.9  88.5  82.8  75.6  70.9  65.4  58.8  51.8  J
2JT8D      S     A    6000 106.1 100.5  96.7  93.0  87.2  80.9  76.1  70.7  64.1  56.9  J
2JT8D      S     D    8000 108.8 103.9 100.5  96.8  91.5  85.7  80.5  75.1  68.9  62.0  J
2JT8D      S     D   10000 111.4 107.2 104.3 101.1  95.7  89.5  85.0  79.8  73.5  66.7  J
2JT8D      S     D   12000 115.1 111.1 108.4 105.5 100.2  94.3  89.9  85.0  78.8  72.1  J
2JT8D      S     D   14000 119.8 115.9 113.3 110.5 105.4  99.7  95.3  90.3  84.5  78.4  J
2JT8D2     M     A    4000  89.8  82.7  78.0  73.2  65.6  57.3  51.1  44.5  37.7  31.3  J
2JT8D2     M     A    4667  90.8  83.6  79.0  74.2  66.6  58.2  52.0  45.4  38.6  32.2  J
2JT8D2     M     A    5333  91.8  84.6  79.9  75.1  67.5  59.1  52.9  46.3  39.4  33.0  J
2JT8D2     M     A    6000  92.9  85.6  80.9  76.1  68.4  60.0  53.8  47.1  40.3  33.9  J
2JT8D2     M     D    9000 100.6  93.9  89.5  84.8  77.3  69.0  62.9  56.1  49.2  42.5  J
2JT8D2     M     D   11000 103.0  96.3  91.9  87.2  79.6  71.2  65.0  58.2  51.2  44.4  J
2JT8D2     M     D   13000 105.4  98.7  94.2  89.5  81.8  73.3  67.1  60.2  53.1  46.3  J
2JT8D2     M     D   15000 107.8 101.1  96.6  91.8  84.1  75.5  69.2  62.2  55.1  48.2  J
2JT8D2     M     D   17000 110.2 103.5  99.0  94.2  86.4  77.6  71.3  64.2  57.0  50.1  J
2JT8D2     M     D   19000 112.6 105.9 101.4  96.5  88.6  79.8  73.4  66.2  59.0  52.0  J
2JT8D2     S     A    4000  91.5  87.5  84.7  81.9  77.1  71.6  67.2  62.4  57.5  52.9  J
2JT8D2     S     A    4667  92.6  88.5  85.8  82.9  78.1  72.6  68.2  63.4  58.5  53.8  J
2JT8D2     S     A    5333  93.7  89.6  86.8  83.9  79.1  73.6  69.2  64.4  59.4  54.8  J
2JT8D2     S     A    6000  94.7  90.6  87.8  84.9  80.1  74.6  70.2  65.4  60.4  55.7  J
2JT8D2     S     D    9000 100.1  96.3  93.7  91.0  86.3  80.8  76.6  71.6  66.5  61.7  J
2JT8D2     S     D   11000 102.4  98.7  96.1  93.3  88.6  83.0  78.7  73.7  68.7  63.8  J
2JT8D2     S     D   13000 104.8 101.0  98.5  95.6  90.9  85.2  80.9  75.9  70.8  65.9  J
2JT8D2     S     D   15000 107.1 103.4 100.8  98.0  93.1  87.4  83.1  78.0  72.9  68.0  J
2JT8D2     S     D   17000 109.5 105.7 103.2 100.3  95.4  89.6  85.2  80.2  75.0  70.1  J
