          x[m]          y[m]          z[m]      SEL[dBA]    LAmax[dBA]   EPNL[EPNdB]  PNLTM[TPNdB]
==================================================================================================
      -3000.00      -3000.00          0.00         39.76         28.76         35.82         36.43
      -3000.00      -2875.00          0.00         39.98         29.10         36.25         36.85
      -3000.00      -2750.00          0.00         40.19         29.43         36.69         37.28
      -3000.00      -2625.00          0.00         40.40         29.76         37.14         37.71
      -3000.00      -2500.00          0.00         40.62         30.09         37.61         38.13
      -3000.00      -2375.00          0.00         40.83         30.41         38.11         38.55
      -3000.00      -2250.00          0.00         41.04         30.73         38.62         38.96
      -3000.00      -2125.00          0.00         41.26         31.05         39.15         39.37
      -3000.00      -2000.00          0.00         41.47         31.36         39.71         39.77
      -3000.00      -1875.00          0.00         41.67         31.66         40.26         40.16
      -3000.00      -1750.00          0.00         41.83         31.96         40.50         40.54
      -3000.00      -1625.00          0.00         41.99         32.24         40.73         40.90
      -3000.00      -1500.00          0.00         42.13         32.51         40.96         41.25
      -3000.00      -1375.00          0.00         42.27         32.77         41.18         41.59
      -3000.00      -1250.00          0.00         42.40         33.02         41.39         41.90
      -3000.00      -1125.00          0.00         42.47         33.25         41.61         42.19
      -3000.00      -1000.00          0.00         42.42         33.45         41.81         42.46
      -3000.00       -875.00          0.00         42.35         33.64         42.02         42.70
      -3000.00       -750.00          0.00         42.23         33.81         42.23         42.92
      -3000.00       -625.00          0.00         42.06         33.96         42.44         43.11
      -3000.00       -500.00          0.00         41.86         34.07         42.64         43.25
      -3000.00       -375.00          0.00         41.70         34.16         42.79         43.35
      -3000.00       -250.00          0.00         41.53         34.23         42.91         43.42
      -3000.00       -125.00          0.00         41.34         34.26         43.02         43.46
      -3000.00          0.00          0.00         41.25         34.28         43.02         43.48
      -3000.00        125.00          0.00         41.34         34.26         43.02         43.46
      -3000.00        250.00          0.00         41.53         34.23         42.91         43.42
      -3000.00        375.00          0.00         41.70         34.16         42.79         43.35
      -3000.00        500.00          0.00         41.87         34.07         42.64         43.25
      -3000.00        625.00          0.00         42.06         33.96         42.44         43.11
      -3000.00        750.00          0.00         42.23         33.81         42.23         42.92
      -3000.00        875.00          0.00         42.35         33.64         42.02         42.70
      -3000.00       1000.00          0.00         42.43         33.45         41.81         42.46
      -3000.00       1125.00          0.00         42.47         33.25         41.60         42.19
      -3000.00       1250.00          0.00         42.40         33.02         41.39         41.90
      -3000.00       1375.00          0.00         42.27         32.77         41.17         41.59
      -3000.00       1500.00          0.00         42.14         32.51         40.95         41.25
      -3000.00       1625.00          0.00         41.99         32.24         40.73         40.90
      -3000.00       1750.00          0.00         41.84         31.96         40.49         40.54
      -3000.00       1875.00          0.00         41.68         31.66         40.25         40.16
      -3000.00       2000.00          0.00         41.47         31.36         39.71         39.77
      -3000.00       2125.00          0.00         41.26         31.05         39.15         39.37
      -3000.00       2250.00          0.00         41.05         30.73         38.61         38.96
      -3000.00       2375.00          0.00         40.83         30.41         38.10         38.55
      -3000.00       2500.00          0.00         40.62         30.09         37.61         38.13
      -3000.00       2625.00          0.00         40.41         29.76         37.13         37.71
      -3000.00       2750.00          0.00         40.19         29.43         36.68         37.28
