          x[m]          y[m]          z[m]      SEL[dBA]    LAmax[dBA]   EPNL[EPNdB]  PNLTM[TPNdB]
==================================================================================================
     104062.00     475470.00          0.00          9.71         30.54          6.81         37.69
     104062.00     475595.00          0.00          9.99         30.75          7.26         37.95
     104062.00     475720.00          0.00         10.27         30.94          7.73         38.19
     104062.00     475845.00          0.00         10.53         31.13          8.22         38.42
     104062.00     475970.00          0.00         10.79         31.31          8.72         38.64
     104062.00     476095.00          0.00         11.04         31.47          9.24         38.85
     104062.00     476220.00          0.00         11.28         31.62          9.79         39.03
     104062.00     476345.00          0.00         11.49         31.76         10.24         39.21
     104062.00     476470.00          0.00         11.66         31.89         10.46         39.37
     104062.00     476595.00          0.00         11.81         32.01         10.68         39.51
     104062.00     476720.00          0.00         11.94         32.11         10.88         39.63
     104062.00     476845.00          0.00         12.06         32.19         11.06         39.74
     104062.00     476970.00          0.00         12.15         32.26         11.24         39.82
     104062.00     477095.00          0.00         12.13         32.31         11.39         39.89
     104062.00     477220.00          0.00         12.01         32.35         11.54         39.94
     104062.00     477345.00          0.00         11.84         32.38         11.69         39.97
     104062.00     477470.00          0.00         11.61         32.38         11.85         39.97
     104062.00     477595.00          0.00         11.30         32.37         12.01         39.96
     104062.00     477720.00          0.00         10.99         32.35         12.11         39.93
     104062.00     477845.00          0.00         10.65         32.30         12.19         39.88
     104062.00     477970.00          0.00         10.14         32.25         12.30         39.81
     104062.00     478095.00          0.00          9.19         32.17         12.39         39.72
     104062.00     478220.00          0.00          8.05         32.09         11.25         39.61
     104062.00     478345.00          0.00          8.52         31.98         11.18         39.48
     104062.00     478470.00          0.00          9.35         31.87         12.10         39.34
     104062.00     478595.00          0.00          9.86         31.74         11.66         39.18
     104062.00     478720.00          0.00         10.07         31.59         11.38         39.00
     104062.00     478845.00          0.00         10.17         31.44         11.11         38.81
     104062.00     478970.00          0.00         10.32         31.27         10.77         38.60
     104062.00     479095.00          0.00         10.42         31.09         10.44         38.38
     104062.00     479220.00          0.00         10.45         30.91         10.11         38.14
     104062.00     479345.00          0.00         10.43         30.71          9.79         37.90
     104062.00     479470.00          0.00         10.38         30.50          9.48         37.64
     104062.00     479595.00          0.00         10.18         30.29          9.17         37.38
     104062.00     479720.00          0.00          9.95         30.07          8.85         37.10
     104062.00     479845.00          0.00          9.71         29.82          8.53         36.76
     104062.00     479970.00          0.00          9.46         29.56          8.21         36.40
     104062.00     480095.00          0.00          9.20         29.29          7.88         36.03
     104062.00     480220.00          0.00          8.93         29.02          7.50         35.65
     104062.00     480345.00          0.00          8.62         28.75          6.82         35.26
     104062.00     480470.00          0.00          8.30         28.47          6.17         34.87
     104062.00     480595.00          0.00          7.98         28.18          5.55         34.48
     104062.00     480720.00          0.00          7.67         27.90          4.96         34.08
     104062.00     480845.00          0.00          7.35         27.61          4.38         33.67
     104062.00     480970.00          0.00          7.03         27.32          3.83         33.26
     104062.00     481095.00          0.00          6.71         27.02          3.29         32.85
     104062.00     481220.00          0.00          6.40         26.73          2.77         32.44
     104062.00     481345.00          0.00          6.09         26.43          2.27         32.03
     104062.00     481470.00          0.00          5.68         26.14          1.65         31.61
     104062.00     481595.00          0.00          5.28         25.84          1.06         31.20
     104062.00     481720.00          0.00          4.89         25.55          0.47         30.78
     104062.00     481845.00          0.00          4.50         25.25          0.00         30.37
     104062.00     481970.00          0.00          4.13         24.96          0.00         29.95
     104062.00     482095.00          0.00          3.75         24.66          0.00         29.54
     104062.00     482220.00          0.00          3.39         24.37          0.00         29.13
     104062.00     482345.00          0.00          3.03         24.08          0.00         28.71
     104062.00     482470.00          0.00          2.68         23.78          0.00         28.30
     104062.00     482595.00          0.00          2.34         23.49          0.00         27.90
     104062.00     482720.00          0.00          2.00         23.21          0.00         27.49
     104062.00     482845.00          0.00          1.66         22.92          0.00         27.09
     104062.00     482970.00          0.00          1.33         22.64          0.00         26.69
     104062.00     483095.00          0.00          1.01         22.35          0.00         26.29
     104062.00     483220.00          0.00          0.69         22.07          0.00         25.89
     104062.00     483345.00          0.00          0.34         21.79          0.00         25.50
     104062.00     483470.00          0.00          0.00         21.52          0.00         25.11
     104062.00     483595.00          0.00          0.00         21.24          0.00         24.72
     104062.00     483720.00          0.00          0.00         20.97          0.00         24.34
     104062.00     483845.00          0.00          0.00         20.70          0.00         23.96
     104062.00     483970.00          0.00          0.00         20.43          0.00         23.58
     104062.00     484095.00          0.00          0.00         20.17          0.00         23.21
     104062.00     484220.00          0.00          0.00         19.91          0.00         22.83
     104062.00     484345.00          0.00          0.00         19.65          0.00         22.47
     104062.00     484470.00          0.00          0.00         19.39          0.00         22.10
     104062.00     484595.00          0.00          0.00         19.13          0.00         21.74
     104062.00     484720.00          0.00          0.00         18.88          0.00         21.38
     104062.00     484845.00          0.00          0.00         18.63          0.00         21.02
     104062.00     484970.00          0.00          0.00         18.38          0.00         20.67
     104062.00     485095.00          0.00          0.00         18.13          0.00         20.32
     104062.00     485220.00          0.00          0.00         17.89          0.00         19.98
     104062.00     485345.00          0.00          0.00         17.64          0.00         19.63
     104062.00     485470.00          0.00          0.00         17.40          0.00         19.29
     104187.00     475470.00          0.00         10.14         31.00          7.32         38.26
     104187.00     475595.00          0.00         10.43         31.22          7.79         38.53
     104187.00     475720.00          0.00         10.72         31.42          8.27         38.79
     104187.00     475845.00          0.00         11.00         31.62          8.77         39.03
     104187.00     475970.00          0.00         11.27         31.81          9.28         39.26
     104187.00     476095.00          0.00         11.53         31.98          9.82         39.48
     104187.00     476220.00          0.00         11.78         32.14         10.38         39.68
